Column1,Column2
Төлбөрийн нэхэмжлэх хэрхэн авах вэ ,"Банкнаас сар бүр (кредит картын нөхцөлийн дагуу) төлбөрийн нэхэмжлэх гарсан талаарх мэдээллийг таны банкинд бүртгүүлсэн цахим шуудан, гар утсанд мэдэгдэнэ. Мөн интернэт банкаараа нэвтрэн орж сүүлийн 12 сарын төлбөрийн нэхэмжлэхээ харах боломжтой."
МИАТ кредит карт-д хэрхэн миль цуглуулах вэ ,"МИАТ кредит картаараа ХасБанкны ПОС дээр хийх 10,000төг тутамд 1 миль цугларна. Олон улсад аль ч банкны ПОС дээр уншуулсан 10,000төг тэнцэхүйц гүйлгээ тутамд 1 миль цугларна. Цуглуулсан миль-ээ сар бүрийн нэхэмжлэхээсээ харах боломжтой."
Цуглуулсан миль-ээ хэрхэн ашиглах вэ ,Миль хэрхэн зарцуулах талаар ЭНД дарж харна уу.
Мобайл Банк 2.0 нь интернэт банкны үйлчилгээнээс юугаараа ялгаатай вэ ,Мобайл Банк 2.0 үйлчилгээний гол ялгаа нь интернэтгүй орчинд буюу утасны сүлжээ бүхий аль ч газраас банкны бүх төрлийн үйлчилгээг авах боломжтой. Өөрөө хэлбэл заавал ухалааг утастай байх албагүй бөгөөд 2G төрийн утас болох товчлууртай утас байсан ч ашиглах боломжтой.
Мобайл Банкны үйлчилгээгээр банк хоорондын гүйлгээ хийж болох уу ,
ПИН кодоо мартсан тохиолдолд яах вэ ,"Өөрт ойр салбар, ТТ-д цахим үнэмлэхээ авч ирж, ПИН кодоо сэргээлгэнэ. 1800-1888 лавлах утсанд Мобайл Банк үйлчилгээнд бүртгэлтэй утасны дугаараас залгаж, хүсэлт гаргана."
ПИН код буруу оруулан түгжигдсэн харилцагч яах вэ ,"ПИН кодоо 5 удаа буруу хийхэд хэрэглэгчийн эрх түгжигдэх бөгөөд салбар, ТТ -д хандах эсхүл 1800-1888 дугаарт залгаж шинэ ПИН код авна."
Гадаадад Мобайл Банк 2.0 үйлчилгээг ашиглах боломжтой юу ,"Боломжтой. Roaming үйлчилгээ идэвхжүүлэн *1888# дугаарт залгаж, Мобайл Банкны үйлчилгээ авах боломжтой."
Цуглуулсан оноогоо хэрхэн бүртгүүлэх вэ ,"Төлбөрийн картаар хийсэн бэлэн бус гүйлгээний оноо автоматаар орох бөгөөд энэ тохиолдолд хэрэглэгч тухайн гүйлгээг хийсэн төлбөрийн картын дугаараа бүртгүүлэх шаардлагатай юм. Жишээ нь RedPoint Mongolia апп-д ХасБанкны картын 16 оронтой дугаараа бүртгүүлээд (4 хүртэлх картыг нэг зэрэг бүртгүүлэх боломжтой) тус картаараа Петровисийн ШТС, Петромарт болон ХасБанкны тусгай тэмдэглэлтэй ПОС дээр худалдан авалт хийхэд РэдПойнт оноо нь шууд бүртгэгдэнэ."
RedPoint яаж худалдаж авах вэ ,RedPoint ашиглан худалдан авалт хийхэд цуглуулсан RedPoint дутах үед 1 RedPoint-ийг 2 төгрөгөөр үнэлэн дараах сувгуудын ашиглан нэмэлтээр RedPoint худалдаж авах боломжтой.
Хэрхэн бараа захиалах вэ ,"Вэб-р бараа захиалахдаа www.redpoint.mn-рүү нэвтэрч ороод RedPoint гэсэн цэсийг сонгоно. Каталог хэсгээс худалдан авах бүтээгдэхүүн, үйлчилгээгээ сонгоод худалдаж авах товчийг дарна. Өөрт хамгийн ойр байрлах ШТС-ыг сонгоно.Бараа хүлээн авахад ашиглах БАР КОД-ыг и-мэйлээр илгээнэ. RedPoint Mongolia апп-руу нэвтэрч ороод зүүн доод буланд байрлах цүнхний зурган дээр дараад Каталог хэсгээс худалдан авах бүтээгдэхүүн, үйлчилгээгээ сонгоод худалдаж авах товчийг дарна. Өөрт хамгийн ойр байрлах ШТС-ыг сонгоно. Бараа хүлээн авахад ашиглах БАР КОД-ыг и-мэйлээр илгээнэ. СМС-ээр бараа захиалахдаа хэрэглэгч өөрийн бүртгэлтэй дугаараас 130360 тусгай дугаарт бараа болон ШТС-ын кодыг илгээнэ. Илгээсний дараа 130360-с хэрэглэгчрүү баталгаажуулах смс явуулах бөгөөд хэрэглэгч захиалгаа баталгаажуулан Y (латин) үсэг илгээнэ. Илгээсний дараа 130360-с хэрэглэгчийн захиалгыг баталгаажуулан хүлээн авсан тухай хариу мэдэгдэл явуулах ба бараа тухайн ШТС дээр бэлэн болмогц 130360-с хэрэглэгчийн захиалсан бараа бэлэн болсон тухай мэдэгдэл бараагаа авахад шаардагдах БАР КОД-н хамт илгээнэ (Mессежээр бараа захиалахад 60 REDPOINT хасагдана). ЖИЧ: Захиалга баталгаажсаны дараа хүргэлтийн хугацаанаас хамаарч 7-21 хоногийн дараа таны бараа сонгосон ШТС-д бэлэн болно."
RedPoint-ийн харилцагчийн үйлчилгээний дугаар хэд вэ ,1131-8020 (Даваа-Баасан 09:00-18:00)
Урьдчилгаа төлбөр болох 20%-д дүйцүүлж нэмэлтээр үл хөдлөх хөрөнгө барьцаалах уу ,Монголд ашиглагдаж буй улсын дугаартай автомашин худалдан авахаас бусад тохиолдолд урьдчилгаа дүйцүүлж ҮХХ барьцаалах боломжтой.
Урьдчилгаа төлбөрийг өндөр дүнгээр төлвөл зээлийн хүү буурах боломжтой юу ,Монголд ашиглагдаж буй улсын дугаартай автомашин худалдан авахаас бусад тохиолдолд боломжтой.
Ямар валютаар хадгаламжийн данс нээлгэж болох вэ ,"Төг, Ам.Доллар, Юань, Евро"
"Хүүгээс хүү бодох арга, энгийн хүү бодох арга хоорондын ялгаа юу вэ ",Жишээ нь:
Хадгаламж эзэмшигч өөрийн биеэр ирж чадахгүй тохиолдолд хэрхэн хадгаламжаасаа зарлага гаргах вэ ,"Хадгаламж эзэмшигч нь хүндэтгэн үзэх шалтгааны улмаас өөрийн биеэр банкинд ирж чадахгүй тохиолдолд итгэмжлэгдсэн төлөөлөгчөөр дамжуулан гүйлгээ хийж болно. Энэ тохиолдолд банк нь Иргэний хуульд заасан шаардлага хангасан хүчин төгөлдөр итгэмжлэл, итгэмжлэгдсэн төлөөлөгчийн иргэний үнэмлэх /паспорт/ , түүнтэй адилтгах баримт бичгийг үндэслэл болгож, дансанд гүйлгээ хийнэ /зөвхөн нэг удаа, тодорхой заасан тоон дээр/"
Дансны үлдэгдэл болон орлого орсон эсэхийг яаж шалгах вэ ,Та ХасБанкны дараах үйлчилгээг ашиглан дансны үлдэгдэлээ мэдэх боломжтой.
Хадгаламж эзэмшигч хадгаламжаа бусадтай хамтран эзэмшиж болох уу  Хэдэн хамтран эзэмшигчтэй байж болох вэ ,"Болно. Хадгаламж эзэмшигч хадгаламжаа бусадтай хамтран эзэмших тохиолдолд, банкинд албан ёсны хүсэлт гаргасны үндсэн дээр хамтран эзэмшигчийн овог нэр, иргэний үнэмлэх, регистрийн дугаарыг бичүүлж, баталгаат гарын үсгийг нь зуруулж авна."
Банкинд ирэлгүйгээр хадгаламжиндаа орлого нэмж болох уу ,"Боломжтой, Та манай банкны Захиалгат гүйлгээ үйлчилгээг ашиглан урьдчилан гэрээ байгуулан өөрийн цалин эсвэл бусад данснаас автоматаар орлого хийх боломжтой. Мөн манай банкны интернет банк ашиглаж болно."
Хадгаламжийн хугацааг сунгах хүсэлтэй бол хэрхэн сунгуулах вэ ,Анх хадгаламжийн гэрээгээ байгуулахдаа сунгалт хийлгэх тохиргоо хийлгэж болно. Хэрэв тохиргоо хийгээгүй бол хадгаламжийн хугацаа дуусахад хадгаламж нээлгэсэн салбартаа очин хугацаагаа сунгуулна. Харин өөрөө очих боломжгүй бол өөрийн итгэмжлэгдсэн төлөөлөгчөөрөө дамжуулан салбарт хүсэлтээ гарган сунгуулж болно.
Хадгаламжаа барьцаалан зээл авч болох уу  ХасБанкны аль салбарт хандах вэ ,"Боломжтой. Хадгаламж барьцаалсан зээлийг Хасбанкны аль ч салбараас, Мөн интернэт банкаар дамжуулан 1 цагын дотор авах боломжтой."
Хугацаатай хадгаламжийг гэрээний хугацаанаас өмнө цуцлах тохиолдолд ,"12 сар хүртэлх хугацаат хадгаламж бол жилийн 2.4% хүүгээр, байршуулсан хугацаанд хүүг тооцон олгоно. Хэрэв урт хугацаат хадгаламж бол гэрээ цуцлах өдрөөс өмнөх 365 хоногийн хүүг 2.4%-р бодож олгоно."
Хадгаламжийн дэвтрээ хаясан эсхүл үрэгдүүлсэн тохиолдолд яах вэ ,"Банкинд яаралтай мэдэгдэх шаардлагатай. Шинэ хадгаламжийн дэвтэр авахын тулд хадгаламжийн данс анх нээлгэсэн салбар, тооцооны төвд иргэний үнэмлэхтэйгээ очин хүсэлтээ гаргана."
Хадгаламж эзэмшигч нас барсан тохиолдолд яах вэ ,"Хадгаламж эзэмшигч нас барсан тохиолдолд өв залгамжлах эрхийн гэрчилгээ, өв залгамжлагчийн иргэний үнэмлэх эсвэл гадаад паспортыг үндэслэн эрх бүхий этгээдэд мөнгөн хадгаламжийг олгох эсвэл уг гэрээг түүний нэр дээр шинэчлэн хийнэ."
Хадгаламж барьцаалсан зээлийн шимтгэл хэд байдаг вэ ,Хадгаламж барьцаалсан зээлийн тогтоосон хэмжээн дотор дахин авч байгаа дүнгээс шимтгэл авахгүй. Шимтгэлийг сунгалт хийлгэж буй дүн болон нэмэгдүүлж буй дүнгээс 0.5%-иар авдаг.
ХасИнфо үйлчилгээнд хэрхэн бүртгүүлэх вэ ,"Та өөрт ойр байрлах ХасБанкны салбар, тооцооны төвд иргэний үнэмлэхээ авч очин бүртгүүлэх боломжтой;
ХасБанкны лавлах утас 1800-1888 тусгай дугаарт холбогдсоноор мөн бүртгүүлэх боломжтой."
ХасИнфо үйлчилгээ хураамжтай юу ,Зөвхөн гар утсанд мессежээр мэдээлэл хүлээн авахад 50 төгрөг; Зөвхөн имэйл хаягаараа гүйлгээний мэдээлэл хүлээн авахад 0 төгрөг; Мессеж болон имэйлээр гүйлгээний мэдээллийг хүлээн авахад 50 төгрөгийн шимтгэлтэй.
Гадаад валютын дансыг ХасИнфо үйлчилгээнд холбох боломжтой юу ,"MNT, USD болон Юань-ы дансуудыг холбох боломжтой. USD болон Юань дансны хувьд мэдэгдэл хүргэх доод дүн нь 1 USD болон 1Юань байгаа болно."
Цалингийн зээл авахад ямар шалгуур тавих вэ ,"Цалингийн зээлийг сүүлийн 6 сар ажил эрхэлсэн, үндсэн ажилтнаар ажиллаж буй гэрээт байгууллагын ажилтанд олгоно. Одоо ажиллаж буй байгууллагадаа шилжин ажиллахдаа үндсэн ажилтнаар орсон бол цалингийн зээл авч болно."
Манай байгууллагын нэрэн дээр экспортын аккредитив нээгдэж ирсэн эсэхийг хэрхэн мэдэх вэ ,ХасБанкинд харилцагч таны экспортын аккредитив нээгдэж ирсэн даруйд бид утсаар болон захидлаар мэдэгдэнэ.
Нээгдэн ирсэн экспортын аккредитивт нэмэлт өөрчлөлт оруулж болох уу ,Экспортын аккредитивт нэмэлт өөрчлөлт оруулахын тулд та импортлогчтойгоо харилцан тохиролцсоны үндсэн дээр аккредитив гаргагч банкнаас нэмэлт өөрчлөлтийг оруулдаг. Хэрэв танд нэмэлт өөрчлөлт оруулахад тусламж хэрэгтэй бол ХасБанк аккредитив гаргагч банктай холбогдон таны асуудлыг шийдвэрлэхэд тусалн
Экспортын аккредитивын тухай илүү дэлгэрэнгүй мэдээллийг хэрхэн авах вэ ,Та өөрт ойр ХасБанкны салбар дээр ирж илүү дэлгэрэнгүй мэдээллийг аваарай.
танай банкны нэр юу вэ,Манай банкийг Хасбанк гэдэг.
Сайн байна уу сайн уу,Сайн байна уу Хасбанкны виртуал туслах байна танд туслахад бэлэн
Hi hii hiii,Өдрийг сайхан өнгөрүүлж байна уу Танд яаж туслах вэ
Hello helo heelo ,Сайн байна уу Танд яаж туслах вэ
Хасбанкны тухай,"ХасБанк 2001 онд байгууллагдсан цагаасаа Монгол Улсын банк санхүүгийн системд тогтвортой өсөлтийг бий болгож, үйл ажиллагаагаа өргөтгөж ирсэн бөгөөд өдгөө банкны системд нөлөө бүхий 5 банкны нэг болоод байна. ХасБанк нь Эх дэлхий, Эрдэнэт хүмүүн, Эрүүл ашгийг эрхэмлэсэн, санхүүгийн зах зээлд манлайлах үйлчилгээтэй тэргүүлэгч банк байх эрхэм зорилгыг өмнөө тавин Монгол орон даяар үйл ажиллагаа явуулж буй 71 салбар нэгж, бизнес үйлчилгээний төвүүд, тэдгээрт ажиллаж буй 1,152 мэргэшсэн ажилтан, 8,000 гаруй мерчант, 360 гаруй АТМ-аар дамжуулан 1 сая харилцагчдадаа санхүүгийн цогц үйлчилгээг хамгийн сүүлийн үеийн дэвшилтэт технологийг ашиглан, нэр төртэйгээр хурдан шуурхай хүргэж байна.\n Бидний үнэт зүйлс Хүртээмжтэй \n Санаачилгатай \n Нийгмийн хариуцлагатай \n Харилцагч төвтэй \n Эрч хүчтэй \n Мэргэжлийн"
Хасбанкны танилцуулга,"ХасБанк 2001 онд байгууллагдсан цагаасаа Монгол Улсын банк санхүүгийн системд тогтвортой өсөлтийг бий болгож, үйл ажиллагаагаа өргөтгөж ирсэн бөгөөд өдгөө банкны системд нөлөө бүхий 5 банкны нэг болоод байна. ХасБанк нь Эх дэлхий, Эрдэнэт хүмүүн, Эрүүл ашгийг эрхэмлэсэн, санхүүгийн зах зээлд манлайлах үйлчилгээтэй тэргүүлэгч банк байх эрхэм зорилгыг өмнөө тавин Монгол орон даяар үйл ажиллагаа явуулж буй 71 салбар нэгж, бизнес үйлчилгээний төвүүд, тэдгээрт ажиллаж буй 1,152 мэргэшсэн ажилтан, 8,000 гаруй мерчант, 360 гаруй АТМ-аар дамжуулан 1 сая харилцагчдадаа санхүүгийн цогц үйлчилгээг хамгийн сүүлийн үеийн дэвшилтэт технологийг ашиглан, нэр төртэйгээр хурдан шуурхай хүргэж байна.\n Бидний үнэт зүйлс Хүртээмжтэй \n Санаачилгатай \n Нийгмийн хариуцлагатай \n Харилцагч төвтэй \n Эрч хүчтэй \n Мэргэжлийн"
Хэрхэн хасбанкны хэргэлэгч болох вэ,"Харилцагчийн анкет;
Улсын бүртгэлийн гэрчилгээний нотариатаар баталгаажуулсан хуулбар;
Хуулийн этгээдийн дүрмийн хуулбар;
Гарын үсгийн баталгаа нотариатаар баталгаажуулах;
Мөнгөн хөрөнгө захиран зарцуулах эрх бүхий этгээдийн цахим үнэмлэхний хуулбар;
Эцсийн өмчлөгч тодорхойлсон байгууллагын албан тоот.
Дэлгэрэнгүй мэдээлэл авахыг хүсвэл ХасБанкны хамгийн ойрын салбар болон Харилцагчийн үйлчилгээний төвийн 1800-1888 дугаарт холбогдох хандана уу."
